	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
HN26_P14_D11_S239_comb	0.0	0.020373140322627565	0.0	0.0	0.0	0.08244663492779782	0.0	0.3759917799864076	0.01987222944335247	0.0	0.06504090079818964	0.0	0.0	0.37090209872105695	0.017383049360765797	0.0	0.015020564376450312	0.008629530642210052	0.07345780568806454	0.0
HN26_P25_H09_S189_comb	0.0	0.0	0.0	0.0	0.01980656334947991	0.0	0.04004239073460435	0.1629105432448433	0.057770990493186125	0.0	0.03758200800235522	0.0	0.0	0.7037950974168921	0.0	0.0262816780151415	0.025460371268857394	0.0077967144811591305	0.0	0.0037563682814945043
HN26_P14_H06_S282_comb	0.0	0.0	0.0	0.11604513299714755	0.0	0.01617582693091665	0.0	0.3245947922575484	0.0	0.0	0.12937903463814804	0.33770364211587717	0.0	0.21366044342562726	0.0	0.0	0.010250029138900973	0.016734578392973307	0.0	0.0
HN25_P25_C04_S316_comb	0.0	0.0	0.0	0.0	0.7248238533196759	0.0	0.0	0.0	0.0	0.2916132527074608	0.0	0.0	0.009333268949725772	0.0	0.0	0.1290534169914787	0.0	0.0	0.0	0.0
HN26_P25_C09_S129_comb	0.0	0.0	0.0	0.08463994964735655	0.001049652512598504	0.05641028619660387	0.0	0.3089380853197432	0.030168690652809724	0.02707332119761155	0.0	0.0	0.0	0.472565578279165	0.0	0.0	0.005421857163458965	0.026141050909411375	0.05509832761901373	0.0
HNSCC26_P24_H05_S377_comb	0.0	0.0	0.0	0.0	0.030816817918483848	0.0	0.0	0.3802685360353372	0.0	0.11807874686636456	0.0	0.0	0.0	0.5268328398983199	0.0	0.0	0.0	0.0	0.03761242040155217	0.0
HN25_P24_B02_S110_comb	0.0	0.0	0.0	0.08843385061179332	0.4027223123064813	0.03566700053036081	0.029392978217162913	0.0	0.0	0.0	0.15799114899987887	0.014731931767447652	0.0	0.00022977609554617354	0.19702168936987868	0.0	0.10530258631749616	0.0	0.0	0.0
HN26_P5_H01_S85_comb	0.0	0.0	0.054242244640624604	0.0	0.02464290638175806	0.0	0.0	0.0	0.0	0.04048247897353912	0.0	0.0	0.022028089661313116	0.677570830637563	0.061781360161695754	0.0	0.021049247316976768	0.0	0.03947035904250399	0.03407305210544218
HN26_P5_E06_S54_comb	0.06961165726873225	0.0538171448494938	0.012105045816309664	0.0	0.0	0.021831224149920288	0.0	0.06529026885143312	0.017731073842670152	0.015736730732231786	0.0	0.17701354500496796	0.0	0.5812060659458455	0.018085073205030232	0.00020052010523120638	0.0	0.0	0.0400263915905245	0.0
HN26_P26_H05_S377_comb	0.0	0.0	0.01853891820100448	0.06328882833490904	0.0	0.06220394176115513	0.0	0.2533217256050554	0.03949912769344697	0.0	0.056217767133273616	0.0	0.0	0.5101558545971351	0.0	0.0	0.000574509560998829	0.013378731023081977	0.03893077356715443	0.0
HNSCC26_P24_F12_S360_comb	0.07271267086183546	0.0	0.0	0.0	0.007336208661033297	0.0	0.0	0.7595489906561712	0.0	0.07069624471360801	0.0	0.0	0.0	0.04158617557440276	0.022065450481900183	0.0	0.0	0.0	0.0	0.0
HNSCC26_P24_F03_S351_comb	0.0	0.024469541349537986	0.0	0.0	0.0	0.0	0.030988183940381792	0.21053994310771992	0.043920697505126394	0.0	0.0	0.0	0.0	0.548119847866111	0.046926759452426636	0.0	0.0	0.0194931950745246	0.0386360702781066	0.004790405672360896
HN26_P6_D08_S44_comb	0.0	0.0	0.0	0.05509464633691828	0.0	0.0	0.014993996683145766	0.11328892032159722	0.041191412597127164	0.0932947844990299	0.0	0.013814254803806072	0.0	0.0	0.02673381726043554	0.0	0.26606678151791907	0.3414108662351852	0.030467713457482573	0.0
HNSCC26_P24_C01_S313_comb	0.0	0.010058713771534456	0.0	0.0	0.009345816599154563	0.0	0.0	0.31196121100691343	0.0	0.0	0.0	0.0	0.0	0.414919127009921	0.19255717668749764	0.0	0.014260971227410671	0.010311841208951022	0.059559076465462844	0.0
HN25_P25_B12_S312_comb	0.030385904811677585	0.0	0.041199306687543714	0.004148355594561912	0.699567370797609	0.007135686717904397	0.02617528489234613	0.04516465613021178	0.0	0.00676648886205942	0.0545933350983826	0.0	0.0	0.0	0.01341014789748407	0.04857969981449422	0.041353133880198324	0.0	0.0	0.0
HN25_P5_E11_S59_comb	0.0007769192074224449	0.0	0.0	0.04887277497745447	0.8082027748074002	0.025593329433987795	0.0	0.01998313846696781	0.003005155623348726	0.0	0.04178703835944562	0.0	0.0	0.018907918316736626	0.00937972806217182	0.07974964105668318	0.005831948625296223	0.0	0.016826289394115356	0.0054617839289174885
HN26_P25_E02_S146_comb	0.0	0.0	0.0	0.06173861288019442	0.0	0.005944173785316694	0.02569886401257308	0.2574616917978052	0.06607786224167914	0.0035536699884883356	0.042224513841159286	0.0	0.0	0.4938649245392771	0.0	0.0	0.0052855893719914405	0.0	0.0896712594714835	0.0
HN26_P26_E10_S346_comb	0.01757922266974852	0.0	0.0	0.06782659248759229	0.05399713919031204	0.07975654115703316	0.10701539732616487	0.5481236720254553	0.022857213646739268	0.0	0.0	0.0	0.010283823093918848	0.18570466269488964	0.003189756920913701	0.03123206337319278	0.0	0.0	0.0	0.0
HN26_P6_B04_S16_comb	0.0543917746917259	0.018294853208310743	0.0	0.1132595727485968	0.0	0.09466642212066015	0.050056627257631825	0.07623310036248851	0.01217491986880419	0.0	0.011318913491333443	0.0	0.04712273187696224	0.5481045940357018	0.0	0.0	0.03826375126605905	0.018506405754592854	0.0	0.0065089402781979624
