	1	2	3	4	5	6	7	8	9	10	11	12
cell44	0.047679704	0.059683025	0.5438615	0.031658016	0.034584668	0.0645647	0.027163161	0.035533387	0.06763214	0.045276713	0.0030586754	0.030798627
cell45	0.08923042	0.12170121	0.44088107	0.08822763	0.04776952	0.05998116	0.061248142	0.011284584	0.040347937	0.001981739	0.014495149	0.006935749
cell46	0.046137813	0.087792486	0.489164	0.07074282	0.07157902	0.030426227	0.036092456	0.043355923	0.04151663	0.03493008	0.013487481	0.043385465
cell47	0.047394328	0.073035985	0.5839432	0.063279234	0.00034325814	0.009964233	0.079677634	0.05403637	0.042277392	0.012844914	0.0	0.028949019
cell48	0.07803721	0.04354332	0.46874598	0.0804012	0.05100796	0.06475192	0.043803684	0.08099414	0.0	0.0673885	0.0043004174	0.0068057133
cell49	0.06446139	0.031766377	0.5394	0.025954753	0.05257921	0.033026867	0.034441225	0.025190255	0.0	0.029706204	0.040411327	0.10523471
cell50	0.037396632	0.104820296	0.5053475	0.07573314	0.07916813	0.13265891	0.050844386	0.0042660977	0.0	0.0	0.0034544945	0.0
cell51	0.06440604	0.14780979	0.5256044	0.020124577	0.056605134	0.08266577	0.014105984	0.029190898	0.0	0.04088201	0.016110547	0.0041101663
cell52	0.06691089	0.08546987	0.48820144	0.04851198	0.06395934	0.07278945	0.04477177	0.052537758	0.0	0.04161726	0.005488218	0.024870932
cell53	0.069056556	0.06326415	0.46492353	0.050318416	0.039006267	0.078699335	0.08149391	0.055374872	0.021783935	0.024973877	0.0003797332	0.038170107
cell54	0.042966813	0.05585925	0.4624558	0.07712165	0.07620685	0.07623793	0.07882875	0.06781525	0.004320813	0.0	0.009264117	0.048190873
cell55	0.1013411	0.058587633	0.6047749	0.0058905045	0.0	0.03739543	0.048843525	0.0	0.07402525	0.0	0.0	0.0709439
cell56	0.020408837	0.03933419	0.62925816	0.05213756	0.055005908	0.0	0.0	0.0	0.0	0.12507063	0.106344625	0.0
cell57	0.017550547	0.09105314	0.60566956	0.02193801	0.04422194	0.021935355	0.069135636	0.006571823	0.0045155543	0.049017612	0.0334415	0.03699545
cell58	0.05307655	0.04917168	0.54612654	0.05370501	0.05752447	0.059837677	0.0	0.0014722793	0.046132296	0.0948071	0.03295285	0.0041134097
cell59	0.049984515	0.01302559	0.6017339	0.040460557	0.035226278	0.05283964	0.05234524	0.026207196	0.0075961566	0.0198089	0.007141281	0.084127866
cell60	0.0885361	0.066025116	0.49231043	0.020810947	0.0	0.09222083	0.039867137	0.02566703	0.030373925	0.03576756	0.026812088	0.087620914
cell61	0.04844326	0.042635825	0.5248302	0.1303669	0.09098133	0.06323495	0.0035553055	0.0	0.0	0.12217861	0.0	0.0
cell62	0.05312022	0.10043429	0.38955942	0.0794278	0.050760653	0.07722531	0.05747511	0.07663297	0.048517868	0.00041207357	0.012327526	0.03550217
cell63	0.06284667	0.037593886	0.48037732	0.06676144	0.0074392958	0.069113076	0.079638965	0.030073166	0.089443974	0.017877083	0.017318495	0.03661479
cell64	0.07984302	0.009528402	0.5433677	0.06107222	0.0	0.021911101	0.05518961	0.043765083	0.10020583	0.0062059904	0.0052178917	0.073431164
cell65	0.08163604	0.08779159	0.39260095	0.09096068	0.02826694	0.095958	0.057418775	0.06765935	0.03661427	0.039242342	0.030275928	0.0
cell66	0.036632713	0.104425445	0.4809686	0.004307502	0.0	0.0442833	0.02315061	0.011858085	0.18115622	0.04055083	0.020081561	0.04274962
cell67	0.02095869	0.0	0.49180925	0.083043575	0.0	0.060577337	0.062316835	0.0	0.17714909	0.0	0.0	0.12315703
cell68	0.054997902	0.0026450194	0.6837026	0.064406924	0.004457901	0.040480584	0.015594158	0.01751773	0.0449137	0.035467375	0.043915436	0.017326726
cell69	0.034289565	0.06306662	0.43388095	0.02892471	0.010026657	0.05062439	0.003463524	0.016820306	0.03443529	0.054247033	0.23970255	0.011737881
cell70	0.03946022	0.030514957	0.57269424	0.0	0.1051942	0.039303467	0.0	0.0	0.0	0.1477755	0.015976764	0.058711987
cell71	0.09904081	0.0	0.63026273	0.0	0.034382563	0.040141746	0.04732432	0.062020388	0.020171147	0.051365055	0.031589095	0.0
cell72	0.08056562	0.021902444	0.5753692	0.029868463	0.030855764	0.05139364	0.037089486	0.04762454	0.033603158	0.013875574	0.01735927	0.063948736
cell73	0.063196726	0.07635667	0.5941787	0.080688655	0.020453185	0.021059085	0.07188409	0.011113869	0.0	0.005642441	0.01555193	0.036221765
cell74	0.015137258	0.0715452	0.55840325	0.043655522	0.013256076	0.0013415006	0.0	0.055790916	0.0067637595	0.05699305	0.1752946	0.0056045605
cell75	0.023469852	0.02247273	0.6718068	0.017971417	0.025239019	0.05800404	0.052344922	0.0	0.0006177877	0.0	0.020185338	0.1064252
cell76	0.088795066	0.034901794	0.5208983	0.05601367	0.05699544	0.023724986	0.0	0.11561952	0.029844647	0.054163598	0.020123884	0.0069241556
cell77	0.05096058	0.07377689	0.5084821	0.054721285	0.0	0.04646442	0.089845754	0.030400775	0.07174819	0.024366276	0.028180659	0.0063543837
cell78	0.05547153	0.051040154	0.5828726	0.029525533	0.0	0.012224792	0.0630486	0.021485943	0.08315363	0.03417794	0.011710144	0.0650123
cell79	0.06855443	0.024678728	0.49769416	0.057876755	0.020028459	0.112945095	0.0	0.045911916	0.058162708	0.059159804	0.029197402	0.02160768
cell80	0.024477175	0.019733066	0.525657	0.053533874	0.0	0.036086958	0.0	0.0	0.15615278	0.11671532	0.026970375	0.053506516
cell81	0.065139756	0.06639922	0.5254664	0.05230348	0.017356684	0.037377633	0.049658295	0.030394008	0.06852988	0.05773626	0.009539824	0.027100008
cell82	0.0730858	0.055309184	0.46481812	0.11115127	0.094000906	0.004582146	0.0009661049	0.028163964	0.07797603	0.076206006	0.032310378	0.001307361
cell83	0.0	0.0420639	0.6068973	0.0	0.025373511	0.008037389	0.0	0.032635253	0.04116013	0.13246848	0.026778407	0.082504705
cell84	0.13443562	0.06550391	0.39044932	0.07295184	0.04911546	0.051355932	0.058942582	0.050118707	0.043182082	0.0	0.015196747	0.055502173
cell85	0.022297919	0.0	0.5802804	0.0	0.0	0.0027461727	0.090057425	0.058133535	0.2554878	0.0	0.015179523	0.0
cell86	0.070861146	0.094978824	0.44701788	0.05798978	0.07830978	0.07684575	0.06067635	0.048438616	0.019476412	0.031045275	0.021626052	0.00097091025
cell87	0.0	0.06648546	0.32991156	0.16127104	0.13776432	0.1297175	0.038992625	0.052895635	0.0	0.0070986254	0.0023754884	0.059596125
cell88	0.07347334	0.029954037	0.43895584	0.043859348	0.03763547	0.048801165	0.044129014	0.05717247	0.09051866	0.0	0.0	0.11007333
cell89	0.035686463	0.06809663	0.5629346	0.03285334	0.023033593	0.01797859	0.024806231	0.035648786	0.030767074	0.019820618	0.049462017	0.09971697
cell90	0.07577106	0.04839233	0.5402212	0.080492266	0.0	0.07856865	0.031370588	0.03155726	0.059791546	0.049681894	0.0020827719	0.014207652
cell91	0.08915535	0.022024287	0.49269742	0.05761908	0.054470066	0.08299932	0.032508377	0.04109466	0.029247165	0.040837124	0.004096156	0.049682025
cell92	0.038587056	0.061778855	0.6227329	0.05925643	0.026722485	0.043815594	0.00972153	0.03535306	0.006252704	0.0557773	0.017652905	0.040405404
cell93	0.047282636	0.045059513	0.57984924	0.046490587	0.036280647	0.029753383	0.017728332	0.027992377	0.0	0.018817624	0.1346023	0.009403507
cell94	0.005650082	0.0	0.61377245	0.013113835	0.025630992	0.004480409	0.04017401	0.06888775	0.0	0.09096579	0.015133548	0.11828371
cell95	0.009169559	0.06182917	0.43521404	0.010844189	0.036732823	0.120373145	0.0	0.03005325	0.12969524	0.15823257	0.0	0.0
cell96	0.05556889	0.054331936	0.67293906	0.0	0.010822434	0.07884051	0.021705786	0.0692111	0.023260463	0.010796336	0.013924377	0.019381598
cell97	0.07218492	0.028509656	0.5237841	0.05322425	0.059767548	0.06796207	0.022603337	0.022614691	0.0	0.05052294	0.022921346	0.078523986
cell98	0.078145094	0.045598708	0.5540937	0.050032724	0.022433735	0.06035845	0.07670189	0.011960352	0.042493165	0.0	0.009586125	0.035568472
cell99	0.05745253	0.048095275	0.63335323	0.089516304	0.04987802	0.039340265	0.0	0.023406168	0.0	0.0	0.025233794	0.03125776
cell100	0.065869324	0.11975284	0.49910572	0.07426504	0.01948995	0.03454731	0.067539275	0.06563353	0.005718952	0.019565476	0.0	0.0
cell101	0.04679863	0.08615822	0.543941	0.05377633	0.038724728	0.09697	0.011444456	0.026201682	0.031205531	0.041647345	0.0056010205	0.027088162
cell102	0.06424044	0.084361956	0.5059631	0.07571222	0.00235581	0.07528901	0.05356564	0.04776407	0.041400913	0.02526609	0.0	0.013956614
cell103	0.074468315	0.091918856	0.4706851	0.013311754	0.11029228	0.026969038	0.036712155	0.045963272	0.008996109	0.05042526	0.027572278	0.043562736
cell104	0.0	0.041307468	0.47570124	0.06214274	0.0	0.0	0.0	0.019171048	0.0	0.0	0.35301834	0.06745222
cell105	0.013162926	0.0	0.6692211	0.0	0.086471826	0.037532344	0.037394043	0.014480618	0.0	0.0	0.031917248	0.11306921
cell106	0.022494545	0.039178934	0.52575684	0.043951772	0.017555965	0.043739006	0.017840523	0.022910161	0.020272577	0.07095551	0.12976708	0.035576034
cell107	0.046299804	0.018207	0.6104325	0.091065064	0.013775688	0.030308526	0.029324625	0.048920404	0.045127593	0.0	0.02148889	0.063832104
